title,date,url,stock
【公告】榮星董事會決議股利分派,2024/3/14,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E8%82%A1%E5%88%A9%E5%88%86%E6%B4%BE-093733344.html,1617
【公告】榮星董事會決議召開113年股東常會,2024/3/14,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E5%8F%AC%E9%96%8B113%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83-093731530.html,1617
【公告】榮星董事會決議對關係人之捐贈,2024/3/14,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F%E8%91%A3%E4%BA%8B%E6%9C%83%E6%B1%BA%E8%AD%B0%E5%B0%8D%E9%97%9C%E4%BF%82%E4%BA%BA%E4%B9%8B%E6%8D%90%E8%B4%88-093729995.html,1617
【公告】榮星 2024年2月合併營收1.61億元 年增-38.49%,2024/3/11,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2024%E5%B9%B42%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B61-61%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-061115057.html,1617
【公告】榮星 2024年1月合併營收2.63億元 年增73.55%,2024/2/15,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2024%E5%B9%B41%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-63%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E73-064119337.html,1617
【公告】榮星 2023年12月合併營收2.42億元 年增-14.54%,2024/1/10,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B412%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-42%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-063222682.html,1617
【公告】榮星 2023年11月合併營收2.37億元 年增-13.33%,2023/12/11,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B411%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-37%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-054119208.html,1617
【公告】榮星受邀參加台新證券舉辦之聯合法人說明會,2023/11/16,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F%E5%8F%97%E9%82%80%E5%8F%83%E5%8A%A0%E5%8F%B0%E6%96%B0%E8%AD%89%E5%88%B8%E8%88%89%E8%BE%A6%E4%B9%8B%E8%81%AF%E5%90%88%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83-055401896.html,1617
【公告】榮星 2023年10月合併營收2.31億元 年增-17.02%,2023/11/10,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B410%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-31%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-052108026.html,1617
【公告】榮星 2023年9月合併營收2.56億元 年增-7.17%,2023/10/11,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B49%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-56%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-065147790.html,1617
線纜廠展笑顏 大亞創同期新高,2023/9/12,https://tw.stock.yahoo.com/news/%E7%B7%9A%E7%BA%9C%E5%BB%A0%E5%B1%95%E7%AC%91%E9%A1%8F-%E5%A4%A7%E4%BA%9E%E5%89%B5%E5%90%8C%E6%9C%9F%E6%96%B0%E9%AB%98-201000345.html,1617
【公告】榮星 2023年7月合併營收2.46億元 年增-11.8%,2023/8/10,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B47%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-46%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-081200645.html,1617
【公告】榮星調整現金股利配息率,2023/7/11,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F%E8%AA%BF%E6%95%B4%E7%8F%BE%E9%87%91%E8%82%A1%E5%88%A9%E9%85%8D%E6%81%AF%E7%8E%87-072933853.html,1617
【公告】榮星 2023年6月合併營收2.42億元 年增-20.14%,2023/7/10,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B46%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-42%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-082058394.html,1617
盤中速報 - 榮星(1617)急拉3.08%報16.5元，成交27張,2023/7/7,https://tw.stock.yahoo.com/news/%E7%9B%A4%E4%B8%AD%E9%80%9F%E5%A0%B1-%E6%A6%AE%E6%98%9F-1617-%E6%80%A5%E6%8B%893-08-013303956.html,1617
【公告】榮星訂定現金股利配息基準日,2023/6/30,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F%E8%A8%82%E5%AE%9A%E7%8F%BE%E9%87%91%E8%82%A1%E5%88%A9%E9%85%8D%E6%81%AF%E5%9F%BA%E6%BA%96%E6%97%A5-070537791.html,1617
【公告】榮星 2023年5月合併營收2.2億元 年增-35.6%,2023/6/12,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B45%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-2%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-064119788.html,1617
【公告】榮星112年股東常會重要決議事項,2023/6/12,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F112%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83%E9%87%8D%E8%A6%81%E6%B1%BA%E8%AD%B0%E4%BA%8B%E9%A0%85-063235759.html,1617
【公告】榮星 2023年4月合併營收2.14億元 年增-40.6%,2023/5/10,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B44%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-14%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-073225469.html,1617
【公告】榮星 2023年3月合併營收2.71億元 年增-31.6%,更新時間：,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B43%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-71%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-081149294.html,1617
