,Unnamed: 0,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
0,0,00637L,元大滬深300正2  ,29741000,798000,28943000,0,0,0,0,0,0,16377469,0,0,0,33147515,16770046,16377469,45320469
1,1,2618,長榮航          ,29159524,11170000,17989524,0,0,0,10000,16321,-6321,1686289,842000,23000,819000,1566289,699000,867289,19669492
2,2,00680L,元大美債20正2   ,2465000,35000,2430000,0,0,0,0,0,0,12482140,0,250000,-250000,16786000,4053860,12732140,14912140
3,3,2883,開發金          ,17858264,3339000,14519264,0,0,0,0,23000,-23000,255000,162000,0,162000,350000,257000,93000,14751264
4,4,00665L,富邦恒生國企正2 ,21037000,3277000,17760000,0,0,0,0,0,0,-4291386,0,0,0,748287,5039673,-4291386,13468614
5,5,2486,一詮            ,13359100,2400000,10959100,0,0,0,0,1000,-1000,-222000,298000,267000,31000,138000,391000,-253000,10736100
6,6,2409,友達            ,12407650,3711000,8696650,0,0,0,0,21000,-21000,1285640,952990,278000,674990,840650,230000,610650,9961290
7,7,6213,聯茂            ,11117010,5722000,5395010,0,0,0,3683000,0,3683000,837369,978603,238000,740603,208612,111846,96766,9915379
8,8,00830,國泰費城半導體  ,4550000,155000,4395000,0,0,0,0,0,0,3984000,27000,0,27000,5571000,1614000,3957000,8379000
9,9,00688L,國泰20年美債正2 ,2780000,151000,2629000,0,0,0,0,0,0,5340974,0,0,0,7660018,2319044,5340974,7969974
10,10,2367,燿華            ,12544000,5091000,7453000,0,0,0,0,2000,-2000,479322,113000,2058,110942,877380,509000,368380,7930322
11,11,00753L,中信中國50正2   ,7458000,341000,7117000,0,0,0,0,0,0,-722864,0,0,0,436006,1158870,-722864,6394136
12,12,2888,新光金          ,8348000,2211000,6137000,0,0,0,0,0,0,133716,4716,2000,2716,131000,0,131000,6270716
13,13,6005,群益證          ,7848000,2457000,5391000,0,0,0,0,5000,-5000,0,0,0,0,0,0,0,5386000
14,14,2634,漢翔            ,7140000,3392135,3747865,0,0,0,0,1000,-1000,1480509,780000,103000,677000,988509,185000,803509,5227374
15,15,2317,鴻海            ,24512959,17562137,6950822,0,0,0,2441000,660403,1780597,-3524248,728730,2330000,-1601270,1142982,3065960,-1922978,5207171
16,16,00662,富邦NASDAQ      ,4264104,291000,3973104,0,0,0,0,0,0,1157666,16000,0,16000,1472000,330334,1141666,5130770
17,17,00893,國泰智能電動車  ,2345000,65000,2280000,0,0,0,0,0,0,2766072,0,410000,-410000,3887072,711000,3176072,5046072
18,18,2884,玉山金          ,6499245,1500874,4998371,0,0,0,0,185219,-185219,118947,68019,43000,25019,167928,74000,93928,4932099
19,19,2492,華新科          ,6623000,3987306,2635694,0,0,0,126000,1000,125000,2092723,1435368,113734,1321634,826089,55000,771089,4853417
20,20,00712,復華富時不動產  ,3159000,331000,2828000,0,0,0,0,0,0,1732480,0,0,0,2266999,534519,1732480,4560480
21,21,1314,中石化          ,4560000,403000,4157000,0,0,0,0,0,0,366000,201000,0,201000,203000,38000,165000,4523000
22,22,9904,寶成            ,7303602,3783000,3520602,0,0,0,1005000,82409,922591,-186290,25000,293290,-268290,151000,69000,82000,4256903
23,23,3706,神達            ,9441000,6370000,3071000,0,0,0,609000,15000,594000,338144,826745,456341,370404,291000,323260,-32260,4003144
24,24,6120,達運            ,4262000,652000,3610000,0,0,0,0,0,0,-2000,0,0,0,42000,44000,-2000,3608000
25,25,2337,旺宏            ,5274000,2308000,2966000,0,0,0,3000,82578,-79578,662012,303858,64000,239858,550154,128000,422154,3548434
26,26,00900,富邦特選高股息30,1918002,957000,961002,0,0,0,0,0,0,2537460,665000,15000,650000,5078912,3191452,1887460,3498462
27,27,4904,遠傳            ,4464564,1073000,3391564,0,0,0,30000,30875,-875,51274,10274,9000,1274,51000,1000,50000,3441963
28,28,1522,堤維西          ,5004900,2234150,2770750,0,0,0,0,0,0,593032,21425,4403,17022,661010,85000,576010,3363782
29,29,00902,中信電池及儲能  ,2414000,168000,2246000,0,0,0,0,0,0,1014129,0,0,0,2005952,991823,1014129,3260129
30,30,2371,大同            ,11453011,9777736,1675275,0,0,0,0,106000,-106000,1676072,1582545,184694,1397851,683220,404999,278221,3245347
31,31,3673,TPK-KY          ,3506000,530000,2976000,0,0,0,0,0,0,265871,96000,14000,82000,186871,3000,183871,3241871
32,32,3037,欣興            ,4212778,2602296,1610482,0,0,0,1419000,19464,1399536,212655,66200,74000,-7800,341271,120816,220455,3222673
33,33,00633L,富邦上証正2     ,1856000,430000,1426000,0,0,0,0,0,0,1795296,47000,0,47000,3858525,2110229,1748296,3221296
34,34,2344,華邦電          ,6002000,2808000,3194000,0,0,0,5000,3000,2000,1000,4000,174000,-170000,289000,118000,171000,3197000
35,35,2892,第一金          ,6013265,2673000,3340265,0,0,0,0,176111,-176111,17000,0,0,0,19000,2000,17000,3181154
36,36,00757,統一FANG+       ,565000,1039000,-474000,0,0,0,0,0,0,3545000,15000,0,15000,3530000,0,3530000,3071000
37,37,00895,富邦未來車      ,242000,103000,139000,0,0,0,0,0,0,2893068,0,0,0,2997000,103932,2893068,3032068
38,38,2327,國巨            ,2621100,1026000,1595100,0,0,0,511000,3505,507495,925729,599602,55407,544195,554571,173037,381534,3028324
39,39,3059,華晶科          ,4389000,2118000,2271000,0,0,0,114000,1000,113000,509394,3000,0,3000,520903,14509,506394,2893394
40,40,8033,雷虎            ,3751000,967000,2784000,0,0,0,0,0,0,63,7214,7151,63,0,0,0,2784063
41,41,1316,上曜            ,4900000,2211000,2689000,0,0,0,0,0,0,-19000,0,19000,-19000,0,0,0,2670000
42,42,2472,立隆電          ,2731000,242000,2489000,0,0,0,0,0,0,124843,30000,0,30000,95843,1000,94843,2613843
43,43,2388,威盛            ,2840300,895000,1945300,0,0,0,0,0,0,559498,491618,68982,422636,170862,34000,136862,2504798
44,44,00655L,國泰中國A50正2  ,724000,141000,583000,0,0,0,0,0,0,1870698,0,0,0,3689959,1819261,1870698,2453698
45,45,2498,宏達電          ,2259000,306000,1953000,0,0,0,278000,0,278000,147857,83946,16000,67946,92911,13000,79911,2378857
46,46,2324,仁寶            ,9348851,8714000,634851,0,0,0,0,152875,-152875,1888337,258998,492624,-233626,2514773,392810,2121963,2370313
47,47,5871,中租-KY         ,3696213,1273099,2423114,0,0,0,0,204386,-204386,3597,38000,38000,0,4597,1000,3597,2222325
48,48,8926,台汽電          ,2672000,457000,2215000,0,0,0,0,1000,-1000,1939,9714,10247,-533,2472,0,2472,2215939
49,49,5521,工信            ,3115000,874000,2241000,0,0,0,0,0,0,-62999,1,63000,-62999,0,0,0,2178001
50,50,2002,中鋼            ,5167886,2927000,2240886,0,0,0,0,141000,-141000,9000,0,0,0,9000,0,9000,2108886
51,51,00882,中信中國高股息  ,2237278,0,2237278,0,0,0,0,0,0,-158449,0,0,0,1132,159581,-158449,2078829
52,52,6550,北極星藥業-KY   ,3479000,1439000,2040000,0,0,0,0,0,0,-1804,11174,13069,-1895,91,0,91,2038196
53,53,6257,矽格            ,1069000,1398068,-329068,0,0,0,2736000,37576,2698424,-409225,29000,321000,-292000,82000,199225,-117225,1960131
54,54,5258,虹堡            ,2724000,990000,1734000,0,0,0,0,0,0,216292,39466,8103,31363,235929,51000,184929,1950292
55,55,2520,冠德            ,2612470,867000,1745470,0,0,0,0,1000,-1000,189099,136099,68000,68099,141000,20000,121000,1933569
56,56,1303,南亞            ,4957335,3768000,1189335,0,0,0,63000,53701,9299,733144,491449,30885,460564,341580,69000,272580,1931778
57,57,3715,定穎投控        ,4484000,3664300,819700,0,0,0,617000,0,617000,450224,1000,8000,-7000,491179,33955,457224,1886924
58,58,6282,康舒            ,2219000,448000,1771000,0,0,0,1000,4000,-3000,62503,16000,1920,14080,65423,17000,48423,1830503
59,59,2515,中工            ,6611000,5662000,949000,0,0,0,0,3000,-3000,865600,1333000,473000,860000,422600,417000,5600,1811600
60,60,00885,富邦越南        ,1008000,799000,209000,0,0,0,0,0,0,1566337,29000,128256,-99256,2256000,590407,1665593,1775337
61,61,2402,毅嘉            ,2574040,1564000,1010040,0,0,0,0,0,0,763299,114440,4000,110440,704959,52100,652859,1773339
62,62,2363,矽統            ,2372000,575000,1797000,0,0,0,0,0,0,-25000,0,0,0,88000,113000,-25000,1772000
63,63,6505,台塑化          ,3763216,2158000,1605216,0,0,0,73000,11172,61828,98857,105000,1390,103610,5113,9866,-4753,1765901
64,64,2020,美亞            ,1870000,199100,1670900,0,0,0,0,0,0,92245,0,4755,-4755,105000,8000,97000,1763145
65,65,2330,台積電          ,9525119,8356434,1168685,0,0,0,78000,922199,-844199,1358250,1436273,562000,874273,653171,169194,483977,1682736
66,66,2501,國建            ,1543000,289000,1254000,0,0,0,0,9000,-9000,409000,489000,80000,409000,0,0,0,1654000
67,67,6189,豐藝            ,5004000,3600000,1404000,0,0,0,0,0,0,247453,98692,85000,13692,241761,8000,233761,1651453
68,68,2504,國產            ,1795100,416508,1378592,0,0,0,0,2000,-2000,134000,134000,0,134000,0,0,0,1510592
69,69,3356,奇偶            ,2456000,973000,1483000,0,0,0,0,0,0,-591,1869,2460,-591,0,0,0,1482409
70,70,2851,中再保          ,1883000,406000,1477000,0,0,0,0,0,0,521,521,0,521,0,0,0,1477521
71,71,6116,彩晶            ,1577000,193000,1384000,0,0,0,0,0,0,55000,13000,2000,11000,50000,6000,44000,1439000
72,72,2369,菱生            ,2020000,864000,1156000,0,0,0,0,0,0,243658,4001,4,3997,240000,339,239661,1399658
73,73,00921,兆豐龍頭等權重  ,1633000,27000,1606000,0,0,0,0,0,0,-233952,66000,0,66000,944435,1244387,-299952,1372048
74,74,6197,佳必琪          ,2911000,1414000,1497000,0,0,0,0,0,0,-155020,9000,19000,-10000,45000,190020,-145020,1341980
75,75,2439,美律            ,1452000,720000,732000,0,0,0,552000,1641,550359,51489,71519,347000,-275481,328970,2000,326970,1333848
76,76,1524,耿鼎            ,4398000,3073000,1325000,0,0,0,0,0,0,-3000,5000,8000,-3000,0,0,0,1322000
77,77,9945,潤泰新          ,2321000,760000,1561000,0,0,0,0,0,0,-240000,0,256000,-256000,16000,0,16000,1321000
78,78,4915,致伸            ,3254000,1343000,1911000,0,0,0,10000,211088,-201088,-392253,2000,281691,-279691,70000,182562,-112562,1317659
79,79,2867,三商壽          ,1383200,84000,1299200,0,0,0,0,0,0,-8104,0,160000,-160000,161000,9104,151896,1291096
80,80,3045,台灣大          ,2207986,970000,1237986,0,0,0,50000,34232,15768,19321,37000,68000,-31000,63321,13000,50321,1273075
81,81,1455,集盛            ,1922000,596000,1326000,0,0,0,0,0,0,-67473,140019,207492,-67473,0,0,0,1258527
82,82,2458,義隆            ,1941000,757000,1184000,0,0,0,1000,10092,-9092,78862,32153,24291,7862,89000,18000,71000,1253770
83,83,5880,合庫金          ,3535059,2188000,1347059,0,0,0,0,158479,-158479,60000,0,0,0,60000,0,60000,1248580
84,84,2355,敬鵬            ,1509000,505000,1004000,0,0,0,0,0,0,244266,105000,0,105000,149266,10000,139266,1248266
85,85,8046,南電            ,2219020,1013000,1206020,0,0,0,0,0,0,31012,57000,76000,-19000,83428,33416,50012,1237032
86,86,2915,潤泰全          ,1266000,97000,1169000,0,0,0,0,0,0,20914,22000,2000,20000,3914,3000,914,1189914
87,87,2467,志聖            ,2104000,1008000,1096000,0,0,0,0,0,0,84361,0,639,-639,96000,11000,85000,1180361
88,88,6742,澤米            ,1102000,12290,1089710,0,0,0,60000,0,60000,-1000,0,1000,-1000,0,0,0,1148710
89,89,1217,愛之味          ,1169000,40000,1129000,0,0,0,0,0,0,-6000,0,6000,-6000,0,0,0,1123000
90,90,00770,國泰北美科技    ,224000,1000,223000,0,0,0,0,0,0,862000,0,0,0,862000,0,862000,1085000
91,91,2801,彰銀            ,2481494,1214000,1267494,0,0,0,0,171757,-171757,-21324,0,0,0,0,21324,-21324,1074413
92,92,00701,國泰股利精選30  ,385000,42000,343000,0,0,0,0,0,0,699150,45000,0,45000,1007150,353000,654150,1042150
93,93,3714,富采            ,1099000,109000,990000,0,0,0,0,0,0,11000,16000,5000,11000,0,0,0,1001000
94,94,00713,元大台灣高息低波,769061,83525,685536,0,0,0,0,238000,-238000,548170,22000,49000,-27000,825000,249830,575170,995706
95,95,1717,長興            ,1065000,110000,955000,0,0,0,0,3000,-3000,17001,1,0,1,17000,0,17000,969001
96,96,2885,元大金          ,3991521,2984726,1006795,0,0,0,0,201774,-201774,158201,151201,2000,149201,122000,113000,9000,963222
97,97,1795,美時            ,1704000,1904000,-200000,0,0,0,405000,984,404016,751733,496099,72051,424048,354685,27000,327685,955749
98,98,2547,日勝生          ,1623000,669000,954000,0,0,0,0,0,0,0,0,0,0,0,0,0,954000
99,99,2308,台達電          ,5548089,4295600,1252489,0,0,0,4000,99771,-95771,-219965,113450,166600,-53150,168000,334815,-166815,936753
